workerid,Answer.age,Answer.gender,Answer.nativeLanguage,Answer.condition,Answer.uniqueIDs,Answer.orders,Answer.funninessResults,Answer.sensiblenessResults
A3OMUSG91MTI3H,"""25""","""F""","""English""",0,"[3,11,19,27,35,45,53,61,66,74,82,90,98,112,120,128,136,144,146,154,162,170,176,184,192,200,208,218,226,234,237,245,253,261,269,279,287,295,308,316,324,332,340,344,352,360,368,376,386,394,402,410,418,426,434,442,452,460,468]","[41,6,27,24,45,47,19,59,44,13,56,48,23,16,49,55,26,36,25,3,54,42,28,10,58,40,33,17,1,7,43,31,5,9,15,39,53,2,32,50,14,34,52,46,29,20,11,35,21,30,38,37,22,18,8,4,51,12,57]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,3,3,1,1,1,1,3,1,1,2,1,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,2,4,5,7,5,7,7,5,1,7,7,5,7,1,2,7,4,1,1,1,1,1,1,1,7,1,1,1,3]"
A2WDO0GBTENFFV,"""25""","""M""","""English""",0,"[3,11,19,27,35,45,53,61,66,74,82,90,98,112,120,128,136,144,146,154,162,170,176,184,192,200,208,218,226,234,237,245,253,261,269,279,287,295,308,316,324,332,340,344,352,360,368,376,386,394,402,410,418,426,434,442,452,460,468]","[25,10,1,33,31,9,54,34,16,39,46,22,40,59,4,2,18,27,41,42,45,32,14,30,11,5,38,58,19,3,17,8,37,51,15,47,36,7,57,49,12,56,23,35,44,21,28,13,20,55,26,43,24,6,48,29,53,52,50]","[6,5,2,5,3,4,5,4,3,4,5,4,6,1,1,2,2,1,1,4,2,2,2,7,2,2,3,2,1,1,7,6,5,2,2,5,3,5,2,3,3,1,2,2,3,1,3,5,3,3,3,1,4,2,3,2,3,2,3]","[3,6,7,5,4,4,2,3,1,1,2,3,4,5,5,6,5,7,5,5,5,6,5,4,6,5,4,6,4,7,6,6,5,6,2,7,5,6,2,5,1,1,6,2,2,7,1,5,4,2,1,2,2,2,1,7,5,2,2]"
A3VIM82WAK5TIZ,"""65""","""M""","""English""",0,"[3,11,19,27,35,45,53,61,66,74,82,90,98,112,120,128,136,144,146,154,162,170,176,184,192,200,208,218,226,234,237,245,253,261,269,279,287,295,308,316,324,332,340,344,352,360,368,376,386,394,402,410,418,426,434,442,452,460,468]","[26,35,7,27,20,31,37,44,47,39,48,58,51,13,3,43,15,49,34,59,36,21,18,55,52,4,46,30,45,42,23,11,2,54,8,25,57,50,17,16,32,5,6,41,33,53,12,24,1,14,10,28,19,38,22,40,29,56,9]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,6,1,4,7,7,7,4,7,6,7,7,1,1,7,1,1,1,1,1,1,1,1,1,7,7,1,1]"
AO3XB5I5QNNUI,"""65""","""F""","""English""",0,"[3,11,19,27,35,45,53,61,66,74,82,90,98,112,120,128,136,144,146,154,162,170,176,184,192,200,208,218,226,234,237,245,253,261,269,279,287,295,308,316,324,332,340,344,352,360,368,376,386,394,402,410,418,426,434,442,452,460,468]","[19,15,47,51,41,7,43,24,27,50,35,36,10,2,23,32,40,17,52,39,31,42,5,1,59,45,22,8,37,3,20,54,28,57,4,49,30,11,56,14,48,21,12,13,46,25,55,53,9,33,58,18,26,38,16,34,29,44,6]","[6,4,6,3,2,6,5,7,4,5,5,5,6,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,7,4,4,1,2,1,3,4,2,2,1,1,4,1,3,1,1,3,3,3,2,1,3,2,1,2,2,2,1]","[1,2,1,1,1,2,1,1,2,1,1,1,2,6,5,7,7,6,7,7,7,7,5,7,5,7,7,7,7,7,1,1,2,5,6,7,1,6,1,5,7,7,6,1,1,7,4,1,2,1,1,1,1,1,1,1,1,1,2]"
A3CCO4SVP8T75H,"""35""","""F""","""english""",0,"[3,11,19,27,35,45,53,61,66,74,82,90,98,112,120,128,136,144,146,154,162,170,176,184,192,200,208,218,226,234,237,245,253,261,269,279,287,295,308,316,324,332,340,344,352,360,368,376,386,394,402,410,418,426,434,442,452,460,468]","[20,54,7,47,17,26,49,23,41,37,16,58,2,56,28,1,8,11,4,29,42,9,10,27,22,55,21,46,34,36,24,57,18,31,6,13,33,32,50,53,15,52,39,59,44,35,5,51,48,38,12,14,3,43,40,45,19,30,25]","[5,5,1,3,5,4,1,4,5,3,4,5,4,3,1,1,1,4,2,4,2,4,4,3,1,2,3,3,2,3,6,5,5,4,1,1,3,1,1,3,4,1,5,3,1,4,1,1,2,4,1,1,4,1,2,4,1,4,4]","[1,1,1,1,4,1,1,1,5,1,4,1,1,6,6,7,6,6,6,6,6,6,6,6,5,5,6,6,5,6,6,5,5,5,6,6,5,5,1,5,7,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1]"
A26F9VP8ELLZC4,"""65""","""F""","""English""",0,"[3,11,19,27,35,45,53,61,66,74,82,90,98,112,120,128,136,144,146,154,162,170,176,184,192,200,208,218,226,234,237,245,253,261,269,279,287,295,308,316,324,332,340,344,352,360,368,376,386,394,402,410,418,426,434,442,452,460,468]","[3,53,6,49,52,14,27,7,35,43,31,10,23,8,12,58,57,47,2,50,32,54,56,20,29,36,45,1,48,15,44,46,59,25,19,18,21,13,40,34,39,55,28,9,42,22,24,26,17,51,38,30,33,5,41,11,37,4,16]","[2,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1]","[1,1,1,4,1,1,1,1,6,1,3,1,1,7,5,6,6,6,7,7,7,7,5,7,7,7,3,7,7,7,7,5,7,7,7,7,3,7,1,6,7,1,6,1,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1]"
A17FVQS8BZQNVB,"""35""","""F""","""english""",0,"[3,11,19,27,35,45,53,61,66,74,82,90,98,112,120,128,136,144,146,154,162,170,176,184,192,200,208,218,226,234,237,245,253,261,269,279,287,295,308,316,324,332,340,344,352,360,368,376,386,394,402,410,418,426,434,442,452,460,468]","[46,9,18,17,3,33,21,43,34,8,6,24,10,1,57,7,35,56,20,40,53,2,12,45,37,22,44,36,48,38,5,4,39,16,29,27,52,19,49,26,32,11,15,42,50,25,31,47,54,51,58,55,59,30,28,23,14,13,41]","[1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,5,1,2,1,1,1,1,1,2,1,1,6,6,4,6,6,7,6,6,7,6,7,6,7,6,6,7,6,6,2,6,7,5,6,6,7,1,6,5,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
A3GND4YUBDIQ02,"""35""","""M""","""English""",0,"[3,11,19,27,35,45,53,61,66,74,82,90,98,112,120,128,136,144,146,154,162,170,176,184,192,200,208,218,226,234,237,245,253,261,269,279,287,295,308,316,324,332,340,344,352,360,368,376,386,394,402,410,418,426,434,442,452,460,468]","[41,56,29,21,43,44,8,20,49,42,36,34,51,3,14,46,19,55,2,45,59,39,25,13,1,54,33,53,32,40,9,10,11,47,18,26,16,22,6,38,50,28,4,58,5,52,15,23,57,12,27,48,7,35,30,31,24,37,17]","[6,7,2,6,4,6,3,3,7,5,2,5,6,1,1,1,1,1,4,7,1,1,2,1,2,2,1,2,1,1,6,6,5,3,2,2,5,3,3,1,2,1,7,1,4,6,3,3,4,3,2,2,5,5,1,1,3,3,2]","[3,4,5,2,2,2,1,1,2,3,1,1,2,4,7,4,6,7,6,5,6,6,6,7,6,5,7,6,6,7,5,3,4,6,3,4,5,6,4,4,7,5,3,1,2,1,2,1,3,1,1,1,1,1,5,1,2,1,1]"
A34RMF77M4N9VB,"""35""","""F""","""English""",0,"[3,11,19,27,35,45,53,61,66,74,82,90,98,112,120,128,136,144,146,154,162,170,176,184,192,200,208,218,226,234,237,245,253,261,269,279,287,295,308,316,324,332,340,344,352,360,368,376,386,394,402,410,418,426,434,442,452,460,468]","[47,36,48,38,28,22,24,7,16,29,57,59,25,44,12,40,18,32,35,9,19,27,10,31,45,37,46,3,51,50,58,52,42,54,5,20,8,11,17,55,56,13,26,15,30,1,41,49,6,2,39,34,21,4,43,23,14,53,33]","[4,4,4,5,5,6,1,4,1,4,4,2,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,4,3,2,1,1,1,1,1,3,1,5,1,5,1,1,4,1,1,1,4,4,1,1,1,1,7,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,7,1,6,6,1,6,6,5,1,4,5,6,7,4,1,4,6,2,6,2,2,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1]"
A195MOXRMNHRVT,"""35""","""F""","""English""",0,"[3,11,19,27,35,45,53,61,66,74,82,90,98,112,120,128,136,144,146,154,162,170,176,184,192,200,208,218,226,234,237,245,253,261,269,279,287,295,308,316,324,332,340,344,352,360,368,376,386,394,402,410,418,426,434,442,452,460,468]","[57,1,56,39,49,38,47,50,13,32,25,44,10,27,11,20,3,7,51,59,29,28,4,12,16,9,24,19,30,55,53,34,52,17,23,22,14,36,58,48,46,45,15,2,6,8,33,42,31,21,37,40,18,35,5,43,26,41,54]","[2,1,3,4,2,4,2,4,2,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,5,4,1,1,4,2,1,1,4,1,2,1,1,1,1]","[2,1,7,2,2,2,2,4,2,1,2,1,2,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,3,7,7,7,7,4,7,1,7,2,2,2,1,1,7,2,2,1,4,2,2,1,7,1,1]"
